title,subtitle,url,star,quote
"['乱世佳人', '\xa0/\xa0Gone with the Wind']",['\xa0/\xa0飘'],https://movie.douban.com/subject/1300267/,9.3,Tomorrow is another day.
"['素媛', '\xa0/\xa0소원']",['\xa0/\xa0许愿  /  希望：为爱重生(台)'],https://movie.douban.com/subject/21937452/,9.3,受过伤害的人总是笑得最开心，因为他们不愿意让身边的人承受一样的痛苦。
"['飞屋环游记', '\xa0/\xa0Up']",['\xa0/\xa0冲天救兵(港)  /  天外奇迹(台)'],https://movie.douban.com/subject/2129039/,9.1,最后那些最无聊的事情，才是最值得怀念的。 
"['摔跤吧！爸爸', '\xa0/\xa0Dangal']",['\xa0/\xa0我和我的冠军女儿(台)  /  打死不离3父女(港)'],https://movie.douban.com/subject/26387939/,9.0,你不是在为你一个人战斗，你要让千千万万的女性看到女生并不是只能相夫教子。
['我不是药神'],['\xa0/\xa0中国药神  /  印度药神'],https://movie.douban.com/subject/26752088/,9.0,对我们国家而言，这样的电影多一部是一部。
"['何以为家', '\xa0/\xa0كفرناحوم']",['\xa0/\xa0迦百农  /  星仔打官司(港)'],https://movie.douban.com/subject/30170448/,9.1,凝视卑弱生命，用电影改变命运。
"['十二怒汉', '\xa0/\xa012 Angry Men']",['\xa0/\xa012怒汉  /  十二怒汉'],https://movie.douban.com/subject/1293182/,9.4,1957年的理想主义。 
"['哈尔的移动城堡', '\xa0/\xa0ハウルの動く城']",['\xa0/\xa0哈尔移动城堡(港)  /  霍尔的移动城堡(台)'],https://movie.douban.com/subject/1308807/,9.1,带着心爱的人在天空飞翔。
"['少年派的奇幻漂流', '\xa0/\xa0Life of Pi']",['\xa0/\xa0少年Pi的奇幻漂流  /  漂流少年Pi'],https://movie.douban.com/subject/1929463/,9.1,瑰丽壮观、无人能及的冒险之旅。
['鬼子来了'],['\xa0/\xa0Devils on the Doorstep'],https://movie.douban.com/subject/1291858/,9.3,对敌人的仁慈，就是对自己残忍。
"['猫鼠游戏', '\xa0/\xa0Catch Me If You Can']",['\xa0/\xa0逍遥法外  /  捉智双雄(港)'],https://movie.douban.com/subject/1305487/,9.1,骗子大师和执著警探的你追我跑故事。 
"['大话西游之月光宝盒', '\xa0/\xa0西遊記第壹佰零壹回之月光寶盒']",['\xa0/\xa0西游记101回月光宝盒  /  齐天大圣东游记'],https://movie.douban.com/subject/1299398/,9.0,旷古烁今。
"['天空之城', '\xa0/\xa0天空の城ラピュタ']",['\xa0/\xa0Tenkû no shiro Rapyuta  /  Laputa: Castle in the Sky'],https://movie.douban.com/subject/1291583/,9.1,对天空的追逐，永不停止。 
"['闻香识女人', '\xa0/\xa0Scent of a Woman']",['\xa0/\xa0女人香  /  女人的芳香'],https://movie.douban.com/subject/1298624/,9.1,史上最美的探戈。
"['钢琴家', '\xa0/\xa0The Pianist']",['\xa0/\xa0钢琴战曲(港)  /  战地琴人(台)'],https://movie.douban.com/subject/1296736/,9.3,音乐能化解仇恨。
"['天堂电影院', '\xa0/\xa0Nuovo Cinema Paradiso']",['\xa0/\xa0星光伴我心(港)  /  新天堂乐园(台)'],https://movie.douban.com/subject/1291828/,9.2,那些吻戏，那些青春，都在影院的黑暗里被泪水冲刷得无比清晰。
"['指环王2：双塔奇兵', '\xa0/\xa0The Lord of the Rings: The Two Towers']",['\xa0/\xa0魔戒二部曲：双城奇谋  /  指环王II：双塔'],https://movie.douban.com/subject/1291572/,9.2,承前启后的史诗篇章。
['让子弹飞'],['\xa0/\xa0让子弹飞一会儿  /  火烧云'],https://movie.douban.com/subject/3742360/,8.9,你给我翻译翻译，神马叫做TMD的惊喜。
"['罗马假日', '\xa0/\xa0Roman Holiday']",['\xa0/\xa0金枝玉叶(港)  /  罗马假期(台)'],https://movie.douban.com/subject/1293839/,9.1,爱情哪怕只有一天。
"['海蒂和爷爷', '\xa0/\xa0Heidi']",['\xa0/\xa0飘零燕(港)  /  海蒂'],https://movie.douban.com/subject/25958717/,9.3,如果生活中有什么使你感到快乐，那就去做吧！不要管别人说什么。
"['黑客帝国', '\xa0/\xa0The Matrix']",['\xa0/\xa022世纪杀人网络(港)  /  廿二世纪杀人网络(港)'],https://movie.douban.com/subject/1291843/,9.1,视觉革命。
"['指环王1：护戒使者', '\xa0/\xa0The Lord of the Rings: The Fellowship of the Ring']",['\xa0/\xa0指环王1：魔戒再现  /  指环王I：护戒使者'],https://movie.douban.com/subject/1291571/,9.1,传说的开始。
['大闹天宫'],['\xa0/\xa0大闹天宫 上下集  /  The Monkey King'],https://movie.douban.com/subject/1418019/,9.4,经典之作，历久弥新。
"['教父2', '\xa0/\xa0The Godfather: Part II']",['\xa0/\xa0教父续集(港)  /  教父II'],https://movie.douban.com/subject/1299131/,9.2,优雅的孤独。
"['死亡诗社', '\xa0/\xa0Dead Poets Society']",['\xa0/\xa0暴雨骄阳(港)  /  春风化雨(台)'],https://movie.douban.com/subject/1291548/,9.1,当一个死水般的体制内出现一个活跃的变数时，所有的腐臭都站在了光明的对面。
"['辩护人', '\xa0/\xa0변호인']",['\xa0/\xa0逆权大状(港)  /  正义辩护人(台)'],https://movie.douban.com/subject/21937445/,9.2,电影的现实意义大过电影本身。
"['绿皮书', '\xa0/\xa0Green Book']",['\xa0/\xa0绿簿旅友(港)  /  幸福绿皮书(台)'],https://movie.douban.com/subject/27060077/,8.9,去除成见，需要勇气。
"['狮子王', '\xa0/\xa0The Lion King']",['\xa0/\xa0狮子王3D'],https://movie.douban.com/subject/1301753/,9.1,动物版《哈姆雷特》。
